hash,buyer,seller 
3wGHybzse57mxJPy3K6iuSoLNdVp7r9G9sHuwXuicHJaET4nmEXjPUQBkXaQGhKDtWUtzjEV5t5ai62W6DxwgHie,8qQ5giRtSC18e65kedNbtnCPUzPsGhJYm8L3kbx5Z58G,Bc1B5HQCQVchMaBx2wevLtSjYgoYg7QbAyd4Ve91GAMK,0.119
2QfYpkDMYvE9wiwJ7FLwnypLEJqLHoM6zrdVyZTC22HNhQXPZweAyw1nmvVv3c7RLAMN6ApUd9sgU4vQTpqf9v6Q,Bc1B5HQCQVchMaBx2wevLtSjYgoYg7QbAyd4Ve91GAMK,ATSsC3NB2bgB8YnAbRT1nRwv4rVEcoKUUh3at2V4rbZJ,0.06
9NcJK6JeBecvrtXG2Ntu4uDBZukFvQm2p5AaZjgekXqCBXUCQ36zdHvXYcLMFyT2GaBdBbbo5QRdNqoi8TzqRTo,CpFeRs2swAgM2THbUUuR1dujBSuhSg3AAXgRvnjAvDPu,9pMDMswknX1asPyMfKuH5f2abm3B6EF93zwsdFkVeiJ3,1.5
2j55oNKRusLJNTyapk9PHkPyBs2uFoRndD4F53X5NSPNsJnRzX3t6cQbMLA23t5gaLL4tiBoSAsk7J9GYsADZeo2,9pMDMswknX1asPyMfKuH5f2abm3B6EF93zwsdFkVeiJ3,2fjnasKeqKS63myiKHqeVjaCKGEN75U4iPv6ZjsoJ8xa,0.1666
4bdA7Y6PKpyk967SeQyzNBZVCJUJVUi6AqTAz9Vpruv8TcpoEaVUjzSDHb47NFGZFcLUpQDGmRgmdn78fucCwvaN,2fjnasKeqKS63myiKHqeVjaCKGEN75U4iPv6ZjsoJ8xa,HEgq2yhef4eHW2aaww8tK1DCxhTc7wXFY33uTwvkqTio,0.0533
534Sdq7WWmWvTixL9CPWyJud1fsN4HAL1HxcVjSGpmNmVZYcQubx592zS7iBLDrXoqmaYuZDdFTZ6kKK4YAekgtL,CAq7SH3Xx1HX3tXo6Zs8xWJz8eneXF3BjUa8BsZ6E5FU,AhR13qhy5qmU6ay8ykHX77hRbhNsSVaexWFnT2VLvQTB,0.28
3tjPZukjz66U8bcQcoPjp1uukrn78Wyd73XZZVU1vigkUa1KwMRHhmCaATJGBnUssVr2sKH2xdQegwFqC1ucvhXc,AhR13qhy5qmU6ay8ykHX77hRbhNsSVaexWFnT2VLvQTB,HGAjfRcfNFFmCMXmj7Hg5d1GSkWGsFX7V4G3c7mFR9XC,0.145
4TAagdNwhSUz6q58A4jMxLDWgE59qjtfdZGKKLwrMnShnHy5EyDgZYFy8oPXQiAqfa1mzBJQ8WzwtxMJ2UfeTbkW,Ssy5VTnkv3EG4gS5c9ntD56prCesZRaHKtNHTDLpwTw,8TQff9PUGup4CvKPy9gbdJ9bxwS2he7bHDA6StniU6bT,0.798
3mfy16inRfvBsGfhYycFGo2XTd9puoS7u6SdhQ7PurBho6ridr8eznGb38McSQp5QjnJ7vZykHkkbtfPx7at8sYL,8TQff9PUGup4CvKPy9gbdJ9bxwS2he7bHDA6StniU6bT,ARxzW9chM1wNFFGMWxvakCP86JB1KUiHm31dCEvJcJyx,0.75
3mp53csrGbgLQqKtHwZPJD1fw1extkqy9etXwgZ4ZjqVfRZmNCzQw7rxXC7qykXbh354bo9kbtt5NEQ4WKYwRPGD,ARxzW9chM1wNFFGMWxvakCP86JB1KUiHm31dCEvJcJyx,4GvFLzgGCeVgyxQTKhiXayKD62DCSSZEwGk9Uq1hHtj1,0.28
3fr86p7johhN93vD6512zvF1vxBXWML7fq7MpcxGfuapCwVTjFfZYFN8a3yVda9r24qQY5kKYf9KGmXmCJtYD9RC,4GvFLzgGCeVgyxQTKhiXayKD62DCSSZEwGk9Uq1hHtj1,2BEtoHMFJyc6nKfGjEpGb4SgUFsniCksNT5bRZLyAwJ6,0.16
rc4xB6KQxNRs8VCkrdJ5EFVVTjLwDAHxsVEYHRjYaHn1nC7st5riUHWvDkSjX21qNFMpZnQAqkU99WMMdjbNzsC,2BEtoHMFJyc6nKfGjEpGb4SgUFsniCksNT5bRZLyAwJ6,BUNi9tzEBuMXn1o8jYLQ8i2Gygqj2UpmAkT5rt7HWb6Y,0.05
3vPNzB7ppHSGtHx3a2tsETPPovopDwSmCQXZyTTDKe2jYAerh6ybgDS2L6zHL6izyZAggAkKCsTEirGGigCqbVfC,CobCcPDWPspKQEKsjBrPpn97HcBKX4MiZUPF57o3CSbj,6xPVHogWRWWLcsm1WkmF9h9UgBLMhx61kHzg9WBsSE2r,0.25
vkBMV2ba3A9xz4YDDpCXimKL8jnhyKPEfpNnKhfLxLPfWWWFDjg3d8E8kErcPLgR3zTVrMcxJKeXEZAtJznqFnj,6xPVHogWRWWLcsm1WkmF9h9UgBLMhx61kHzg9WBsSE2r,5dbhQZyMviJXwAJG1jXLbgXwwGc86fg3MBWPvNe5oz8X,0.14
5n8m9okZWWyte5Uw2B9bhVYdmTGoNNcQ3Rg39weim1W9mWiZnW9x5DsvkJ49fLgdDx8ubVz72Bkshoc4SQHdqyhM,5dbhQZyMviJXwAJG1jXLbgXwwGc86fg3MBWPvNe5oz8X,1CrfMxKecvQh6e2qL4L2hzQyiSDAf6kA14MbtS1eFqq,0.0535
wa9sWwKCa21MGbGCZWxsMRAWGk6jVKtAZ4axEi2CNgYF21PfabFeetuYtX5JhfpegS6j8kiQ3Kw2JC7xtfxJqd1,5ZVmPYQw4fAk7YNuVSh629MPmkyvYCExpASwjp6xcgyZ,G2y9uWkXdS6BGXuHcioFzXWwALtiJs3QEHewQyVuataJ,0.6
3KH5sRTjyETpHzXeyv47zKPApWQQHaq99mChNhmEVLKrfPu2x8A97Zu9iWGz6kYDoFGLoXx8HP4rP5qWprbC9ZtE,G2y9uWkXdS6BGXuHcioFzXWwALtiJs3QEHewQyVuataJ,BZVyPiDwfQS8pvwC2Ma2SzMdqWGjZ5oJaJq8zGxUB18x,0.86
3Lz7TgqwFSVgGBfeZH8E3Xe5XZuWqe5eFpBcSy5ft6PtftbsMo2dr9NPP3E6Dp2qtJqBpjB8CW3UdeyHYRLWyKRR,BZVyPiDwfQS8pvwC2Ma2SzMdqWGjZ5oJaJq8zGxUB18x,D7C9e6xSqnThhUFMtBYYZEoLsu5eFTFC1iMTMYFro5iH,0.1
32XSCSzwLRPFCkpR5t3YAPb4uRnDWZMN3UnwpCUNW5SE5gdNdxwjX7jF5UCC6RhmrMiwTNy4Tkepqw5x1KbxYZLw,DupqXNxNktyn154jxVgkLEBrsumECas1xwdghyaEfers,AhR13qhy5qmU6ay8ykHX77hRbhNsSVaexWFnT2VLvQTB,0.29
2sNYnMsrRzRejuzF5s3F6EoK7Gfr4nmrnHJk6FXfpMimWZPhPHLL1kMCyB5PrAfSr3H8mM3qSdPDjr2AuDCnvsTk,AhR13qhy5qmU6ay8ykHX77hRbhNsSVaexWFnT2VLvQTB,HGAjfRcfNFFmCMXmj7Hg5d1GSkWGsFX7V4G3c7mFR9XC,0.105
3kL5daBhG7y9DLDiDBbfXy27RVRyH43J2BUYoRfCG4GtT64vGkLKcYv3Hgn5L8BiJdzQCBPuDP3XC2DrT6589aud,91AVMWZncck99Q4vXJi4ipTVTgrozaWd8x2VWn9tPnQ6,7Ca6SmjeQ4UAgpiX82VwFnjyGJxh7XUADAQk3QeHzDFQ,0.2
5L1WAbnBf2KfJM7ia6FHyR8DFvwnxT2YkatK1Xit1AJwBhJh4wXCidYKYFkmpefHuG1GtrhJJmogcA1mANL1RbDp,7Ca6SmjeQ4UAgpiX82VwFnjyGJxh7XUADAQk3QeHzDFQ,AF1VS5EzJZCFVFC9NegedwJVAPhywqf8T8BV2qqof5yC,0.177
3F8pWTKqUD6YtPwioKtxtSPEQNSgw8PVpht9f9wQVhVbHZZP255ugePfqswA59ZQr9Um7aYi6bZG69EbQg9GiEGz,AF1VS5EzJZCFVFC9NegedwJVAPhywqf8T8BV2qqof5yC,EX51e28AArCL2ZzS1jYj2Qv1ctx42fBptseQjyuRLbtJ,0.1
5TV7APsmkwVUfrYkEmwFyR3cXaTCbC1g5vZWXi33GgexL5RoCD22D5gpTCW9f2PszdJVGANekyNgposWvkZ6RuBh,EX51e28AArCL2ZzS1jYj2Qv1ctx42fBptseQjyuRLbtJ,GSJFH2r67wYz42GMcNff5Xc9uGmxUTes4f2UVrXgtH6u,0.18
3vMZan1NM65oGY3UYJQoUrPfjZ2mtNQNR5qtG9bLVGqBfWcNpeucwa2V1zv5LDcm67zhKiZhe9zTvP1Ra3ZjiS3G,5FHsGKr2fqDGEAC3AjSdSpkYEVypjisxyxivmQLFM6fu,E3oEZTcKMGmybKozYiHkMKRm1H5fkD8rqRiAZWZGrj3N,0.055
5U28XcqrGU8TE2nKJptP4STrqV8jEoEPiK822xvcfS7Bwppd3hFrhF2gHd8DhbV4oWwqpUPj1vAi9TgGqNqQSKkm,E3oEZTcKMGmybKozYiHkMKRm1H5fkD8rqRiAZWZGrj3N,CcdwZDmLyf66oLFLhSmUWGoYTxFEkpgsys2J27RjaPq7,0.03
3WHt6LwTo8hnUNnL3DgKQ8So6jeq85DrxUBBucK4zQsoDPwFej4RN2biXPm2zwiNqQ9iJD2WGQ47m91FteTUNkEN,6vLNA4ZfLZkUSoEuuDGcZJjcrByXbx525wn7KUiakTk3,7BuLzAE2TE2sxkgGGfNewsiGKWKPkA2avSwNKtLyiBJo,0.35
4hasHCC2KMwyfYz76ad8xWF2oy9FTnd1XTF9RmyRgk9j8AciDqrjhVfSRSEdkhfuuFouBLqARXSWVYh86D7YX4HQ,7BuLzAE2TE2sxkgGGfNewsiGKWKPkA2avSwNKtLyiBJo,9JrC78eubd9dWEjHSbRsA9PDjQMjuZ49VLaQuRmpuj55,0.2
31C97uY5hHDwg3qsSJCSzMdTgN76gtsPyJUHiVgKtMn2CF4P6ppnU9YJJKWe51dGYMvLenPDb3dLFVSW5t4YsuFm,9JrC78eubd9dWEjHSbRsA9PDjQMjuZ49VLaQuRmpuj55,GSJFH2r67wYz42GMcNff5Xc9uGmxUTes4f2UVrXgtH6u,0.096
2JH2LgrAx6Yp44Fa7AqgJ8DBDrrysnwVMJk4q7tySg6T5iYTqg4WntB5o1F3mc4QMgsH82AzoNbEEiws1x3FHT5M,5FHsGKr2fqDGEAC3AjSdSpkYEVypjisxyxivmQLFM6fu,E3oEZTcKMGmybKozYiHkMKRm1H5fkD8rqRiAZWZGrj3N,0.055
5GUqYDETAeLxXDQjovk42jyzhSyJqgx6AwLYHYMjd3iA9goqmwx1xpP32qHRJLYfidcgqJrniccN5PsKVs7mKAcA,E3oEZTcKMGmybKozYiHkMKRm1H5fkD8rqRiAZWZGrj3N,5syTuvdyYUtGEZUbzc4eDbGM6X3UWHDdekBDBMN68AFb,0.03
VTFPHqaBq5WqoaUf518bMyW3ZLXZS4naSr2b52CYY79j2nwiv9cxfYXaXniKBhfdutDqZoDXb7LNmLYzGbU5bGB,GzzsQ9QFgDvXWW5WkLdme4vTtTzp2cxtPHUREEY5QT14,DgUjbDgYaUqWWy3W4836n5Eq3cRhXbaZMXXF1qcfiNnR,0.55
61WVX3G3iCbyxibGpqL6w8L18XZcBuPLd8q6jeBDUtu9ArnryMmbEdGZfPLCiswZ7oNgNTvSfDHvK5d4hzLzq7EE,DgUjbDgYaUqWWy3W4836n5Eq3cRhXbaZMXXF1qcfiNnR,C8bjmCFwr2VJh5YS6SwDX2RfgGdD24Fmck19mo9FfSf4,0.29
45RZnbkYs5VyQxzBQJkz1GfxQ6XNBUxuVqXPXdPC6nJEREcw9drFQNiiZwJgPWCGLH7jyKRULKFaoR9xqgfR8vsk,C8bjmCFwr2VJh5YS6SwDX2RfgGdD24Fmck19mo9FfSf4,6YUSVHbYMZ7Uu1tGAYQXPvpdvhZYyNR2uWRa9TN3h9We,0.2
FhdAi882JNJQvgGqGmDzxm4QBJRK4gwNYcYNMXJ5ntZ981LwVMtUtVBwz4cv24W3UNQdY6nV7yuUvTuym8Xf5Kv,6YUSVHbYMZ7Uu1tGAYQXPvpdvhZYyNR2uWRa9TN3h9We,G9nQe9oR517vwLLVaMDyMR9dCdmCigbzvGinCwuXHd6f,0.099
3kPzdrJmSvggMrAmcYqhpo3kHoSTxuxdZ1NwJyR62AgvE3TrUWCtEZGPUbpLKPyLdjMWYBSEXbbLYLs4PgyKZ6ih,G9nQe9oR517vwLLVaMDyMR9dCdmCigbzvGinCwuXHd6f,D7C9e6xSqnThhUFMtBYYZEoLsu5eFTFC1iMTMYFro5iH,0.055
3o7GNDJkC73oRA92jFnLFpqHoJxFJycmPNLd6Buh1HzjHVvq89VyEzXAfb5HgXma7Sytdz987SafJweVMGYjhzgn,AmJrMnDZK6XXyDpHdHo4iNP2vw7Y6NZqTN1S47RWvHjx,DZi3BveDiCqU3VTe3rmVzkSZKY2sbrEe2FyuX1X7sU7w,0.299
4A1xgf815KMpcyQ4g3DyTTwC8oevskq29WY16s2mJ7Knx5EVBLGqybBYTKkQkyyjUZYbPvR8wcGRaWfhLLCiKRYX,DZi3BveDiCqU3VTe3rmVzkSZKY2sbrEe2FyuX1X7sU7w,CUyUpv2pjfiPioi6v95Ro4gC9qczN8qCfXTkBLLXPaSS,0.2
7pb65tYW1m1uMZLGzWrNm5EYDcK6S2K8t9CHJUbpmpF3TGKBzadXSzb9TSJgQNBjnsMjncGtFSn8av649aoL6BX,CUyUpv2pjfiPioi6v95Ro4gC9qczN8qCfXTkBLLXPaSS,4VtSkfRzEMx2RBuDda8wrdsbmSN7usfDS1s4guekJnVo,0.24
2BVNK7bpSAuvWXCzbxAsEvsnoNDaaynfS2a21J61enqg9jgKGYKgujJKx8PQ88ZVTtFhby9L11oMDfxtnQsrjAs,4VtSkfRzEMx2RBuDda8wrdsbmSN7usfDS1s4guekJnVo,7KHTkuonxNsZzMAmFSfzGVGEM8uHL9RZ5UdYJ1BDCL6Q,0.62
2HivbUbdD3s9Mdtu6V4Vc9wTFUTbtGDEH2jKwTJPXxkQUu6q3sYKp6FBd4mS3aov4hrZJPsFi99DMkwkGdi39mLB,7KHTkuonxNsZzMAmFSfzGVGEM8uHL9RZ5UdYJ1BDCL6Q,D8mCvXnPrSXohACLUxUitW2CR5BYqg7vraPURzbX964o,0.55
bTkMxhGebHZa4bd5HWZR9H2JLqMuK7RypY7FurmEKyA3BBeZ12xv75xgU5VGCYqecLRHXZCU8CTHExEHACsCd5R,D8mCvXnPrSXohACLUxUitW2CR5BYqg7vraPURzbX964o,FUeQBWF6zmy2yZHDwaxmCGu46Dkv8JnBe3JZ8xRJuaN,0.15
45ZdMmnJT7v9REYSgdzvJ4irE5m23C7nuuwtK126yjWFXLo6w9MTTtunh5S8nqjtUUd12QDbrfLWDrZrpzPJn82z,FUeQBWF6zmy2yZHDwaxmCGu46Dkv8JnBe3JZ8xRJuaN,GSJFH2r67wYz42GMcNff5Xc9uGmxUTes4f2UVrXgtH6u,0.068
aQ2mfhmAJBMkjf4Kf9DV5jcHWdkx6pqbCTJA1FukZ6fqtrYGEp4rQ8UNVag3ToZgP7vE8sojwsmcXZNZsTeL9Dj,5FHsGKr2fqDGEAC3AjSdSpkYEVypjisxyxivmQLFM6fu,D7C9e6xSqnThhUFMtBYYZEoLsu5eFTFC1iMTMYFro5iH,0.05
4zvuEp8ewyA8gC5N3w145SqcSq3QFuSavnD4VTi73giKqX7p9FbbDDnZ1jERTTFBfyNYGWZZ6GXQrM7sVXDhVeDy,rrMZ1xoPs9LWjAuMXuASW4XNn8hsvj1AKK4b4xjqJus,91mkWtP8FWTUMFLbCzM6jvEG6HNvPQhXUCTfTcxvp1m7,0.01
oV4e6USApwkguqEaTq9r2wNobB7eVyUCkpu28RXHy9K3dFixWNvhgqyL4VoSGGycsRAxxS7ycvEvqNdLBCARQes,91mkWtP8FWTUMFLbCzM6jvEG6HNvPQhXUCTfTcxvp1m7,ATSsC3NB2bgB8YnAbRT1nRwv4rVEcoKUUh3at2V4rbZJ,0.65
3S55EaYP3HgrJPyXePEZfHd1EUHEPNWMrpe6Bp1YphfqC6AjSQn9C3uHoQpLzDSJ8rjxDnqbHXoLeDBhCmjDyMun,ATSsC3NB2bgB8YnAbRT1nRwv4rVEcoKUUh3at2V4rbZJ,2g1pV7UpjQTXhYrtQdftHNw9JhZvo1Nrn65YKXP1P9sK,0.48
saNS9Vpaq8mDXQvf174Ksp7eBtkiPThzdkXraGgDTcGc19uWmuX7Licph8H5cs2azTuEx2EeWTisznxt5Lpq2YK,2g1pV7UpjQTXhYrtQdftHNw9JhZvo1Nrn65YKXP1P9sK,7JPAqftAxmgAbLMY6YVvwsb7NamoxDQnR1J97xSm1nmb,0.055
29Q4gLQNKsEinpCtV9MMVAqTvrFEho9tZsV9xLofvQhd2psBU4DcFgpVs82eapTbpt1pZ6gY2EGq6sUxKKFKsxqx,7JPAqftAxmgAbLMY6YVvwsb7NamoxDQnR1J97xSm1nmb,6v6yniSDTUWyXwZrUEu4fPt5tKzPiBPf5v8Gqk5D85Mb,0.049
wFDgk2WKXFEuEhQYsy5UsqfLe1CvBEJJJRhn31eUqLpe5uT2xTKLkVXgSsFGQh1NqfmzyYcCyLi9vuxaHjWqdTB,AhR13qhy5qmU6ay8ykHX77hRbhNsSVaexWFnT2VLvQTB,J3mSDrUhWsrqrxoFEt7U2ezCH9sQTvNJtfjcnVY2CYdP,0.15
2KWaEM81vpaYJ8HDouV8N4Cc8sjoDc8BFj62Pxsh6yyG61BGC81xWnjwXtAiPNPdZQBmM9eEzyQCLcGAromu7mKH,J3mSDrUhWsrqrxoFEt7U2ezCH9sQTvNJtfjcnVY2CYdP,EC5jekiKJgVXooaAsKV7TukdU9ePvY2X7VVbZeMnkNSz,0.054
5ujU9h5mE28ZzVZZGufietBBecLFmM3NKtc6CbW5Pwo1sJjbSZUYz872Bsz9FrM4Zn9GAAygZ2nRvx21MpNxTYrp,5tRqpKggPtcfF8kXsZht4AtbCYkkcLL3g9iuM2NKWoXv,yphQ51F5Gjw9PJAdVRzoE3YEWnRNcJSiFYeJ8yWPYHE,0.025
2zj5tneSahitHAg1SL1wx2twUq4n94L5YXo9jTEXQ9mDwvPHBSWNSr24Y8NEuyaWoom5bTaBW5fFk7owN5eX44Gx,yphQ51F5Gjw9PJAdVRzoE3YEWnRNcJSiFYeJ8yWPYHE,DoVa7t8HBm9qSvdM6XeneJrTJNoXhebpcd32ggxYmmCF,0.095
5byE8hq3Zghc3kjiajtF1L8oubHwdYPiVSco6mPgqJkusXckz3aECwV9ovZ3A84yAPHqySdxwvz85oC9WrpRazAy,DoVa7t8HBm9qSvdM6XeneJrTJNoXhebpcd32ggxYmmCF,7bL3jkWfoxZJicGRC823yjDfFLUQhJPRYsBXeTAMWgph,0.589
zHmHYztYBMCpLra519iJ8f7oERiqDaE5nyotLqL36YgfPStVG8Lfx7dE8ponvGd3gxmhG49YwjVZ8eC7zLTPizg,7bL3jkWfoxZJicGRC823yjDfFLUQhJPRYsBXeTAMWgph,7HcvsHGGC8wTkVphZyXKuof9jy4ToFeFE8zfV1ecWiJ,0.15
5ZBB2f3tfKrGQE5JBJmQanfu4Uv1hNNhoVMdgC1bSwSCbhbkHbp7WMY2fHcaJtQmm3K3jSyQ3gpFFRYncGEkcH6X,7HcvsHGGC8wTkVphZyXKuof9jy4ToFeFE8zfV1ecWiJ,6v6yniSDTUWyXwZrUEu4fPt5tKzPiBPf5v8Gqk5D85Mb,0.049
5twfUTt8v3XhsUvvwULWkMiGnuwYQMgLKeM3AP19rvaM22GVNbViR4dbUn6EPaaMFCZrTaRsx1cybupijqR1Jw8z,3BoQQVqi2g9SHvnpk5iJ6gjbTCc9tMi7pjh6Q3DaqmJW,FJGJLCWPpY6gLefYbwyjS1yGygHCm6QkQGtr487MmxNM,0.60294212
4UurE7TApTTWy12xbniGoiGBLNJ42saovuhcYvYXX7niQNth93kEgkBCh3YWExRcbGo9WurNEMixZtrLHUbVuyUr,FJGJLCWPpY6gLefYbwyjS1yGygHCm6QkQGtr487MmxNM,HGZLxZ9TdzqduUbTC37W2DwQbBKU214imkwqL3oLmY1K,0.4
5d3o2EAfjovBrpAukEQhFkphBkWehgX2BS7jn8ZXBGonPTdLPooz1m1AKTHsGNa7HSL4sXqVdRNCtTis61arBZ4S,HGZLxZ9TdzqduUbTC37W2DwQbBKU214imkwqL3oLmY1K,Dviyu25M2nGAqy4c7Yh61ZAUwMZsfyN3H7i1Wf8DuTV1,0.3
2Azbc147H2j1X76VSVF9uYGAyWHr2DBZ5o8eZPzztX3T4WEXuyRGjWjb5E3c7i2ZBLa9fETQZxZqo5TXj3dZUKnW,DupqXNxNktyn154jxVgkLEBrsumECas1xwdghyaEfers,2yZF9fTrEZPjRKDykDMeXVTUL8BJHBpQCPp6nZRGrCgi,0.37
4BMCEJnXLS66mJrELGKMmn3gpPW92aec4rbqoypJRYtfJFrUGBMqB8qgHu7vJihYeE4s6DrqgqAUp7R1fvBN8GcT,2yZF9fTrEZPjRKDykDMeXVTUL8BJHBpQCPp6nZRGrCgi,8seow37AXM8kotVqEL7Awhc3PuEXiqy2yGaV3WKeWLd,0.36
5n6t9ioyRpSQLqwwicMrSKqHYeojxQr661NoMvMhkDgwKx5iQFGjUBFq75qEvMUV2bd6Yzx7ortenN6SPzSStEDD,8seow37AXM8kotVqEL7Awhc3PuEXiqy2yGaV3WKeWLd,DgFQx8tvn9eouJ6A4ED7vy2egVHTnSB3sKgDeaWJEy8X,1.15
3imv5crijrw1kQ7pnKFh1nrzL4VhqfsscC9MsDsYkFjGu3vdhCzo94KYou6F6D3C7v1K2RZvv66bQ6RySTKovLE1,DgFQx8tvn9eouJ6A4ED7vy2egVHTnSB3sKgDeaWJEy8X,77ixqUEyMxdJ7sN3xEtwXSxdXtDPeVNSeCiNiTzMqeYi,0.59
4QkCxAyZgwSiGVTh7n6yVxwMTCjftdDEmddiJLzjSesB5Ci6SdgSojDrgDVPMxLa41z6rAsSUtrCxEqp4g7bzrAS,77ixqUEyMxdJ7sN3xEtwXSxdXtDPeVNSeCiNiTzMqeYi,Dviyu25M2nGAqy4c7Yh61ZAUwMZsfyN3H7i1Wf8DuTV1,0.199
EDKPuyWWNpMJYhWaN9udBDoMSaiyf7vjN9pvm3n5vEMendnPYjUmPVcPrkiKigcSp9bJGTh74rjczdaUfFgNWVj,BbbB6nahtFWhpYEMScKH7Ls5w7XL9PPr9Eha1HWmAdue,FnsffGSGCea971eTNtXekbskDpjmsubfSvX8vPyxHhPb,0.13
64rTQJfE2BJ19fMdAAwfztkZydnzGEkipTP2EgB6PpijgXx99vYFMqu68oe6TFBh9XXeAGzmAWWov5Budh3Gxe1K,FnsffGSGCea971eTNtXekbskDpjmsubfSvX8vPyxHhPb,7HcvsHGGC8wTkVphZyXKuof9jy4ToFeFE8zfV1ecWiJ,0.18
5j8HBGxLRyZhcqDK9KhhTUKyUeioST7Gd1nCcNEaE8pTcgUMfvCsuDpE4e49XWQSqc9sNHS2NkSRP9TJawLN1feW,7HcvsHGGC8wTkVphZyXKuof9jy4ToFeFE8zfV1ecWiJ,4MQUyy3aUQPuSw1t68yrpTiyjJ5ekAWNts6pmtmPZX9r,0.03
whaoPibaKSpJA9VWK164x7dyfsuJ4TUU9NCNH6HiDtYhFgXehA21DBFV7kZg3FS88SRQGFjgY44ugEo2T33d7Yd,DupqXNxNktyn154jxVgkLEBrsumECas1xwdghyaEfers,Cp8GSb7GFxgVc1itp9jYCHpTQQcpNLgZiJmNuejPq5uh,0.19
4PoZM34UhA1g94vedetd1kWTXqHgFy75UMDWoCQE36z1GDSYgXC8mV2jHDcWZyjLADUeWvdWuA12jzXAgBehK51F,Cp8GSb7GFxgVc1itp9jYCHpTQQcpNLgZiJmNuejPq5uh,AhR13qhy5qmU6ay8ykHX77hRbhNsSVaexWFnT2VLvQTB,0.28
2fa2kmbf8GAX5BkckVtibW2JcakkbZNjroMrE83kN1qvnDQpn91oDaVwcKsG74KjNuh2nv5793QoqCtkziwDF7yB,AhR13qhy5qmU6ay8ykHX77hRbhNsSVaexWFnT2VLvQTB,J1KxBMX6YxWVnpXbAUs57yGpJ7WQVy9uY46n4aMU9EA7,0.149
